avgLocSpeed,avgPlayerSpeed,LocomotionTechnique,SubjectNr
0.43431112181628884,0.456529505373901,AverageShoes,1
0.569370703635767,0.6373889601707957,AverageShoes,10
0.49887950631026695,0.5316810109570993,AverageShoes,12
0.5144848753468932,0.5892708558147535,AverageShoes,13
0.4539462051504669,0.5096552248670586,AverageShoes,14
0.4894325242493415,0.5334685676563402,AverageShoes,15
0.5708404455423457,0.5896392890034732,AverageShoes,16
0.6114708268312815,0.5919451934245943,AverageShoes,17
0.5585811159657922,0.5924972377463733,AverageShoes,18
0.45022570317744753,0.4732555235229458,AverageShoes,19
0.5501974007898416,0.5475766888513862,AverageShoes,2
0.4464739192999298,0.48021351879981267,AverageShoes,20
0.6364070095113951,0.6559724050151934,AverageShoes,21
0.468007816938881,0.5141266945645432,AverageShoes,22
0.6198522203841265,0.6569188042220026,AverageShoes,5
0.5240230566758274,0.4922765914229897,AverageShoes,6
0.5765842866707481,0.5389669523347619,AverageShoes,7
0.45804203572902824,0.5151456609536393,AverageShoes,8
0.6031252069344172,0.5882002015125379,AverageShoes,9
0.4853689306753946,0.5155965765492475,Head,1
0.5969771302754908,0.6069647501402485,Head,10
0.5139248636474829,0.6469322905025106,Head,11
0.5454098123026959,0.5752327655184625,Head,12
0.5174342277662699,0.62204168806307,Head,13
0.48472253068479354,0.5603522327227737,Head,14
0.604834697769369,0.5518171479997163,Head,15
0.5102229139198251,0.5952399095231778,Head,17
0.5817131528573567,0.6385821484503817,Head,18
0.46262278020550246,0.49839320590241437,Head,19
0.4736755595371765,0.5534391564504998,Head,2
0.45115043855990933,0.5072196409338542,Head,20
0.6837605211258279,0.7466972018272973,Head,21
0.5432648253844198,0.5042165748074774,Head,22
0.563012936529819,0.5607887024597132,Head,5
0.6744427404554588,0.5935678231105693,Head,6
0.5672974335187346,0.5640647951196681,Head,7
0.4697927381029372,0.5212919334719752,Head,8
0.62997188431546,0.5694232604274633,Head,9
0.4960509067030303,0.5155085505973064,Hip,1
0.5440105887176724,0.6048363350701971,Hip,10
0.4416595367962998,0.4709921075980744,Hip,11
0.5212262255388282,0.5254259884048427,Hip,12
0.45649190645034066,0.5709366456330823,Hip,13
0.49431203172528876,0.5354840027649551,Hip,14
0.4976391109573922,0.5323592505999744,Hip,15
0.5671068481106116,0.598428981700722,Hip,16
0.5270195445609107,0.5817081456589297,Hip,17
0.5006412854987213,0.5199273210588236,Hip,18
0.43732612383499353,0.490829630171178,Hip,19
0.5027378762224725,0.5727929068571072,Hip,2
0.42637945971820196,0.4103018758540312,Hip,20
0.6175062218188215,0.6540495693477573,Hip,21
0.4158974821175337,0.4095419366953276,Hip,22
0.716999514148265,0.7324695914377849,Hip,5
0.452708222968645,0.45090909386047034,Hip,6
0.4148685176278725,0.4329000661617071,Hip,8
0.57927566099343,0.5407757743234028,Hip,9
0.4141341323306871,0.4367638757874155,StandingFootVelocity,1
0.6156785580276225,0.5634614666148596,StandingFootVelocity,10
0.4805714844512195,0.5373199029571529,StandingFootVelocity,11
0.4987549259386383,0.555412076373494,StandingFootVelocity,12
0.5684301956548882,0.655974919748603,StandingFootVelocity,13
0.449818804277367,0.49409071371595514,StandingFootVelocity,14
0.482976503394389,0.5259396344710179,StandingFootVelocity,15
0.584607291937547,0.5641769574235015,StandingFootVelocity,16
0.6120092438630653,0.6426743240202575,StandingFootVelocity,17
0.5257195407013386,0.5482284593260276,StandingFootVelocity,18
0.5167977686011836,0.5142529560232187,StandingFootVelocity,19
0.4626768419453552,0.5648249973374986,StandingFootVelocity,2
0.4369235177297824,0.4845098289724586,StandingFootVelocity,20
0.6339325661872849,0.743501425695403,StandingFootVelocity,21
0.4414469391848234,0.5278227097653393,StandingFootVelocity,22
0.6341794969708414,0.6844129956231334,StandingFootVelocity,5
0.5766685236137468,0.5202803752126591,StandingFootVelocity,6
0.5207566698393092,0.5264614065800456,StandingFootVelocity,7
0.4425011627765351,0.4732682728882676,StandingFootVelocity,8
0.6157360424383351,0.5774326963053829,StandingFootVelocity,9
