Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/04/03_17:04:27.864;4.222221;50.89299;161.7981;0.02280807;
MW2;2023/04/03_17:04:37.147;5.471313;42.92784;229.6484;0.02073288;
