Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/04/05_12:48:47.828;6.933334;33.67055;390.3651;0.01356506;
MW2;2023/04/05_12:49:04.996;10.38409;48.50936;373.1;0.01034546;
MW3;2023/04/05_12:49:20.468;9.035255;23.8042;448.6205;0.01064301;
MW4;2023/04/05_12:49:36.327;13.49548;78.11758;1423.438;0.02076721;
MW5;2023/04/05_12:49:45.634;7.291489;55.35555;333.3232;0.02131653;
MW6;2023/04/05_12:49:59.706;7.675674;55.09748;601.2959;0.01037598;
