Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/04/04_11:26:20.680;4.788891;37.35663;169.2874;0.02355957;
MW2;2023/04/04_11:26:33.261;3.216782;49.59894;81.10661;0.02081299;
MW3;2023/04/04_11:26:44.201;7.531143;41.86991;542.0105;0.0210495;
MW4;2023/04/04_11:27:25.637;35.52575;77.35706;6654.213;0.009132385;
MW5;2023/04/04_11:27:38.431;10.77629;44.21467;634.4188;0.01034546;
MW6;2023/04/04_11:27:49.626;8.693909;30.59909;535.3396;0.01004028;
