Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/04/20_13:12:05.054;4.455555;20.80459;165.2242;0.02628326;
MW2;2023/04/20_13:12:13.904;5.336346;29.03106;217.5953;0.009613037;
MW3;2023/04/20_13:12:21.145;5.226677;29.89559;287.0584;0.01038361;
MW4;2023/04/20_13:12:37.814;10.04243;107.3139;1068.333;0.02074432;
MW5;2023/04/20_13:12:47.066;7.23204;59.67972;201.1445;0.0136261;
MW6;2023/04/20_13:13:05.136;7.333305;34.8288;591.9748;0.03197479;
